champion_name,toxic_language_label
Brand,0.27266839378238344
Draven,0.26845991561181437
Twisted Fate,0.26825633383010433
Veigar,0.2654320987654321
Vayne,0.2653003930376193
Sion,0.26436781609195403
Rumble,0.26292134831460673
Quinn,0.26184538653366585
Yasuo,0.26079054975011356
Talon,0.2603648424543947
Varus,0.2594119263533938
Ziggs,0.25909380982769625
Maokai,0.2586412395709178
Lissandra,0.25863453815261045
Darius,0.25806451612903225
Jinx,0.2579247434435576
Miss Fortune,0.25776872134488027
Tristana,0.2570945945945946
Jayce,0.2564102564102564
Heimerdinger,0.255859375
Nunu,0.2556818181818182
Kayle,0.2545945945945946
Kha'Zix,0.25448361162646876
Viktor,0.25415676959619954
Teemo,0.25382262996941896
Akali,0.25267069205759407
Katarina,0.25218267293485563
Zed,0.2509824469478648
Fiddlesticks,0.25
Gragas,0.24925309432351686
Lucian,0.24866310160427807
Karthus,0.24808575803981622
Twitch,0.24802300503235084
Yorick,0.24791666666666667
LeBlanc,0.2476798143851508
Ashe,0.24760689215060624
Ezreal,0.24751138856082336
Evelynn,0.24721189591078066
Aatrox,0.24629981024667932
Kennen,0.24568965517241378
Wukong,0.2452248921749846
Master Yi,0.24509803921568626
Nidalee,0.244874715261959
Caitlyn,0.24451770101762935
Vladimir,0.2441860465116279
Morgana,0.2436811406351264
Renekton,0.24306916830019604
Shen,0.24295774647887325
Pantheon,0.24285714285714285
Kassadin,0.24222668004012035
Kog'Maw,0.24181818181818182
Sejuani,0.24177777777777779
Garen,0.24168734491315136
Nocturne,0.24136039495337355
Fiora,0.24128440366972478
Blitzcrank,0.24077216801018245
Gangplank,0.24066390041493776
Tryndamere,0.24017003188097769
Diana,0.24007330482590103
Vi,0.23972413793103448
Poppy,0.23943661971830985
Malzahar,0.23925667828106853
Lulu,0.23884892086330936
Cassiopeia,0.2382608695652174
Lee Sin,0.23816687883346835
Ryze,0.23795180722891565
Fizz,0.23794808405438814
Zac,0.2377873563218391
Jax,0.23766181229773461
Nasus,0.23708406304728546
Rengar,0.23670103092783504
Syndra,0.23644251626898047
Sivir,0.23640350877192984
Nautilus,0.23634735899731424
Sona,0.2363238512035011
Graves,0.23611859838274932
Lux,0.23580562659846546
Ahri,0.23512827741753595
Soraka,0.23487544483985764
Olaf,0.23415361670395227
Alistar,0.23405909797822705
Warwick,0.23337595907928388
Riven,0.23326739202110122
Udyr,0.23253352152434723
Skarner,0.23236514522821577
Xin Zhao,0.23207625362619147
Shyvana,0.2315592903828198
Jarvan IV,0.23118603251053582
Hecarim,0.23072463768115942
Zilean,0.23054755043227665
Shaco,0.23033992897006594
Thresh,0.22902338376891335
Orianna,0.22879543834640056
Mordekaiser,0.2285276073619632
Amumu,0.22796578653774638
Leona,0.2279043117031944
Corki,0.2278233685033216
Irelia,0.22770700636942676
Taric,0.22701592193117617
Elise,0.22696969696969696
Volibear,0.22628951747088186
Galio,0.22556390977443608
Singed,0.2246305418719212
Annie,0.22387223311852059
Nami,0.22356776897997205
Dr. Mundo,0.22347949080622348
Trundle,0.22286821705426357
Xerath,0.2222222222222222
Janna,0.2213554363725012
Swain,0.22010869565217392
Malphite,0.219790675547098
Rammus,0.21976503109882514
Zyra,0.21243523316062177
Karma,0.21228304405874499
Anivia,0.21166306695464362
Cho'Gath,0.20633631194151097
Urgot,0.19523809523809524
